id,title,status,release_date,duration,nb_seasons,nb_episodes,genres,directors,actors,nationality,press_rating,nb_press_rating,spect_rating,nb_spect_rating,summary,poster_link
18054,Blindspot,Terminée,2015-2020,42,5,100,"Drame, Thriller, Action",Martin Gero,"Jaimie Alexander, Sullivan Stapleton, Rob Brown",U.S.A.,3.4,13,3.9,2266,"Une jeune femme amnésique est retrouvée totalement nue en plein milieu de Times Square à New York, recouverte de tatouages mystérieux, fraîchement réalisés. Un agent du FBI, chargé de l'enquête, suit les indices dispersés sur son corps, qui révèlent bientôt une conspiration de grande ampleur...",https://fr.web.img3.acsta.net/c_310_420/pictures/18/09/11/17/41/0675909.png
4178,Castle,Terminée,2009-2016,42,8,173,"Comédie, Drame, Policier",Andrew Marlowe,"Nathan Fillion, Stana Katic, Molly C. Quinn",U.S.A.,2.5,10,4.0,8682,"Richard Castle est un écrivain à succès spécialisé dans les thrillers. La police s'intéresse de près à lui lorsqu'un tueur copie les meurtres mis en scène dans ses romans. Une fois cette affaire résolue, Castle devient consultant pour la police de New York...",https://fr.web.img4.acsta.net/c_310_420/pictures/19/09/02/11/19/1522001.jpg
28862,Ce que Pauline ne vous dit pas,Terminée,2021-2022,52,1,4,Drame,"Antoine Lacomblez, Julien Capron","Ophelia Kolb, Grace Seri, Sylvie Testud",France,3.8,8,3.7,114,"Son ex-mari vient de mourir, tombé dans son jardin du haut d’un échafaudage de fortune. Pauline était sur place. C’est elle qui a prévenu les secours, mais juste un peu trop tard et tellement maladroitement ... Tout l’accuse. Et chaque fois qu’elle tente de se justifier, elle s’enfonce un peu plus... Même son fils de huit ans est persuadé qu’elle est coupable. La machinerie judiciaire se met en place, les services sociaux s’en mêlent. Elle fait face à l’hypocrisie puis à la rage et l’acharnement de sa belle-famille, elle n’a pas les mots pour se défendre, elle est fragile, imprévisible. C’est une femme brisée par des années de mépris et de petites humiliations quotidiennes. La juge d’instruction - presque aussi fragile qu’elle au sein de l’institution -, y voit rapidement un mobile. Elle n’en démordra pas.",https://fr.web.img6.acsta.net/c_310_420/pictures/22/02/17/11/54/5917461.jpg
26406,Kalifat,En cours,Depuis 2020,60,1,8,"Drame, Thriller",Wilhelm Behrman,"Gizem Erdogan, Aliette Opheim, Albin Grenholm",Suède,,,4.2,730,"Alors que l'Etat islamique prépare un attentat contre la Suède, les destins d'une mère en galère, d'une étudiante pleine de vie et d'une flic ambitieuse s'entrecroisent.",https://fr.web.img6.acsta.net/c_310_420/pictures/20/04/10/12/11/5609786.jpg
20705,L'Art du crime,En cours,Depuis 2017,52,5,12,Policier,"Angèle Herry-Leclerc, Pierre-Yves Mora","Nicolas Gob, Eléonore Bernheim, Philippe Duclos",France,3.3,4,4.0,277,"Viré de la PJ pour insubordination, Antoine Verlay, flic opiniâtre et un brin sanguin, est rattaché à l’OCBC (Office Central de lutte contre le trafic des Biens Culturels) grâce à l’influence du commandant Pardo, son ami qui devient, de ce fait, son nouveau patron. Excellent enquêteur, mais étranger à tout ce qui touche à la culture, Antoine va devoir faire équipe avec Florence Chassagne, historienne de l’art réputée à l’imagination débordante. Chaque enquête confronte le duo à un crime relié à l'histoire de l'art et des biens culturels.",https://fr.web.img6.acsta.net/c_310_420/pictures/18/12/04/17/22/0471997.jpg
20108,Les Rivières Pourpres,En cours,Depuis 2018,52,4,20,"Policier, Thriller",Jean-Christophe Grangé,"Olivier Marchal, Erika Sainte","Allemagne, France",,,3.2,614,"Suite à l’affaire de Guernon au milieu des années 2000, l’emblématique capitaine Pierre Niemans est muté à la tête de l’Office Central contre les Crimes de Sang (OCCS). Cette nouvelle unité traite des affaires les plus complexes, où les indices sont peu nombreux, et où les meurtres en série se doivent d’être résolus au plus vite. C’est au cours d’une mission particulièrement difficile que Niemans tombe par hasard sur sa meilleure élève et fille spirituelle, Camille Delaunay.Spécialistes du versant noir de l’âme humaine, duo explosif aux méthodes non moins originales, Niemans et Camille sont envoyés aux quatre coins de la France, dans des régions où les légendes, les paysages et les traditions, se mêlent à des meurtres compliqués, à des enquêtes toujours plus nerveuses et denses. Indépendants, efficaces, et d’un courage rare, ce tandem de choc se fond dans le décor, n’hésitant pas à dormir chez l’habitant pour mieux percer à jour leurs secrets. Aussi borderline l’un que l’autre, ils sont vifs, drôles, efficaces - et dangereux.La suite en série du best-seller de Jean-Christophe Grangé.",https://fr.web.img4.acsta.net/c_310_420/pictures/18/11/06/09/49/3880013.jpg
25535,Ridley Road,Terminée,2021,52,1,4,Thriller,Sarah Solemani,"Agnes O'Casey, Tom Varey, Rory Kinnear",Grande-Bretagne,3.3,4,3.3,82,"Dans les années 1960, Vivien, une jeune coiffeuse juive de la banlieue de Manchester, quitte tout pour partir à Londres à la recherche de son petit ami disparu. Par conviction et par amour, confrontée à la montée du mouvement fasciste en Grande-Bretagne, la jeune femme épouse la cause des activistes antinazis.",https://fr.web.img2.acsta.net/c_310_420/pictures/21/12/14/12/43/2306286.jpg
20322,Sharp Objects,Terminée,Depuis2018,50,1,8,"Drame, Policier, Thriller",,"Amy Adams, Patricia Clarkson, Chris Messina",U.S.A.,4.2,24,4.2,1071,"Camille Preaker, reporter, sort tout juste d'un bref séjour à l'hôpital psychiatrique. Elle retourne dans la ville de son enfance pour tenter de résoudre le meurtre de deux jeunes adolescentes auxquelles elle s'identifie énormément...",https://fr.web.img2.acsta.net/c_310_420/pictures/18/06/11/14/45/2909588.jpg
28412,Anne Boleyn,Terminée,2021,60,1,3,"Historique, Biopic",Eve Hedderwick Turner,"Jodie Turner-Smith, Mark Stanley, Paapa Essiedu",Grande-Bretagne,,,1.3,100,"Biopic qui retrace les derniers mois d'Anne Boleyn, la seconde épouse du roi Henri VIII, en réimaginant sa lutte avec la société patriarcale de l'Angleterre des Tudor, son désir d'assurer un avenir à sa fille, Elizabeth, et la réalité brutale de son échec à fournir à son mari un héritier mâle.",https://fr.web.img4.acsta.net/c_310_420/pictures/21/11/25/12/21/0157463.jpg
261,Battlestar Galactica,Terminée,2003-2009,42,4,79,"Aventure, Drame, Science fiction","Glen A. Larson, Ronald D. Moore","Edward James Olmos, Mary McDonnell, Katee Sackhoff","U.S.A., Grande-Bretagne",,,3.8,10784,"Puissants robots, les Cylons règnent en maître sur l'univers. A bord du dernier vaisseau de guerre, le Galactica, des humains tentent de survivre en entreprenant le voyage de la dernière chance : trouver une légendaire planète appelée la Terre.Notes :En 2003, soit 25 ans après la série originale (1978-1979) avec Richard Hatch et Dirk Benedict dans les rôles de Apollo et Starbuck, Sci Fi Channel lance une mini-série. Pour surfer sur le succès de cette nouvelle adaptation, la chaîne commande alors une nouvelle série d'épisodes.",https://fr.web.img3.acsta.net/c_310_420/pictures/19/09/02/10/57/3132882.jpg
28682,Chosen,En cours,Depuis 2022,42,1,6,"Drame, Science fiction, Thriller",Dallas Jenkins,"Andrea Heick Gadeberg, Albert Rudbeck Lindhardt, Nicolaj Kopernikus",Danemark,,,2.3,73,Une ado danoise voit son univers basculer quand elle découvre la troublante vérité qui se cache dans sa petite ville sans histoire.,https://fr.web.img6.acsta.net/c_310_420/pictures/22/02/01/09/46/4056114.jpg
7933,Fairy Tail,Terminée,Depuis2009,25,7,337,"Aventure, Fantastique, Animation",,"Tetsuya Kakihara, Aya Hirano, Rie Kugimiya",Japon,,,4.1,1518,"Dans un monde magique au beau milieu du pays de Fiore, la jeune Lucy Heartfiria rejoint la Guilde Magique de Fairy Tail. L'attendent de nombreuses et palpitantes aventures aux côtés de Natsu Dragnir, Happy, Erza Scarlett et Grey Fullbuster.",https://fr.web.img3.acsta.net/c_310_420/pictures/19/07/16/17/41/1894644.jpg
24397,Falcon et le Soldat de l'Hiver,En cours,Depuis 2021,45,1,6,"Aventure, Fantastique, Action",Malcolm Spellman,"Anthony Mackie, Sebastian Stan, Wyatt Russell",U.S.A.,3.1,9,3.8,2995,"Sam Wilson, alias Falcon, et Bucky Barnes, le Soldat de l’Hiver, se lancent dans une aventure autour du monde qui va mettre leurs ressources – et leur patience – à rude épreuve.La série se déroule après les événements d'Avengers : Endgame.",https://fr.web.img4.acsta.net/c_310_420/pictures/21/02/08/11/16/4714705.jpg
24240,Leonardo,En cours,Depuis 2021,50,2,16,"Historique, Biopic","Frank Spotnitz, Steve Thompson","Aidan Turner, Matilda De Angelis, Alessandro Sperduti","Italie, Grande-Bretagne, France, Allemagne, Espagne, U.S.A.",3.1,7,3.4,163,"Né à Vinci, en Toscane, Leonardo est devenu un génie inégalé dont les travaux ont renversé l’ordre établi et sont une source d’inspiration encore aujourd’hui. Sa curiosité insatiable a virevolté entre les arts, les sciences et la technologie, nourrie par une humanité profonde et intrépide qui a su se libérer du carcan des conventions de son temps, et par une soif infi nie de connaissance et une détermination à toute épreuve pour comprendre les mystères qui l’entouraient. La série cherche à résoudre l’énigme qu’est cet homme aussi extraordinaire qu’incroyablement contemporain, dans une démarche nouvelle et inédite, à travers une histoire jamais racontée, faite de mystère et de passion.",https://fr.web.img6.acsta.net/c_310_420/pictures/21/04/13/10/17/0872640.jpg
17130,Les Chroniques de Shannara,Annulée,2016 - 2017,42,2,20,"Aventure, Fantastique","Alfred Gough, Miles Millar","Austin Butler, Ivana Baquero, Manu Bennett",U.S.A.,2.7,6,3.8,2334,"Des milliers d'années après l'extinction de la civilisation que nous connaissons, les Quatre Terres sont menacées par la mort imminente de l'Arbre protecteur Ellcrys qui renferme des forces terribles et obscures. A chaque feuille tombée, les démons se réveillent de l'au-delà. La princesse Amberle, le demi-elfe Wil et la solitaire Eretria commencent alors leur quête contre les forces du Mal. Ils sont guidés dans ce combat par le druide Allanon, lequel maîtrise la magie...",https://fr.web.img4.acsta.net/c_310_420/pictures/17/07/19/14/55/496678.jpg
3153,Les Tudors,Terminée,2007-2010,42,4,38,"Drame, Historique",Michael Hirst,"Jonathan Rhys-Meyers, Tamzin Merchant, Joss Stone","U.S.A., Canada, Irlande",,,3.7,6856,La vie très tourmentée du jeune Henry VIII lors de son début de règne au 16ème siècle en Angleterre ! De ses relations tumultueuses avec les femmes à ses alliances politiques...,https://fr.web.img4.acsta.net/c_310_420/pictures/21/11/17/16/17/5910724.jpg
20437,Marcella,En cours,Depuis 2016,45,3,24,"Policier, Thriller","Hans Rosenfeldt, Nicola Larder","Anna Friel, Nicholas Pinnock, Ray Panthaki",Grande-Bretagne,,,3.8,550,"Quand un inspecteur de la brigade des meurtres lui rend visite pour obtenir des informations sur un serial-killer ayant sévi 11 ans auparavant et s'étant remis à tuer, Marcella se voit forcée de réintégrer la brigade en question. Elle essaie en parallèle de sauver son couple après que son mari l'a quittée elle et ses deux enfants.",https://fr.web.img4.acsta.net/c_310_420/pictures/16/06/21/21/34/060033.jpg
24441,Notre planète,En cours,Depuis 2019,,1,8,Documentaire,,"David Attenborough, Salma Hayek","U.S.A., Grande-Bretagne",,,4.6,964,Embarquez pour un voyage inoubliable au cœur des paysages les plus spectaculaires au monde.,https://fr.web.img3.acsta.net/c_310_420/pictures/19/03/27/09/01/2071034.jpg
20669,One Punch Man,Terminée,2015-2019,24,2,31,"Comédie, Action, Animation",Tomohiro Suzuki,"Makoto Furukawa, Kaito Ishikawa, Yûki Kaji",Japon,,,4.3,1741,"Histoire de passer le temps, Saitama est devenu un héros. Trois années d’un entraînement spécial lui ont donné un pouvoir le rendant invincible. Mais Saitama est devenu si fort qu’un seul coup de poing lui suffit à terrasser chaque adversaire se présentant, aussi puissant soit- il. Aujourd’hui encore, un nouvel ennemi se dresse devant ce héros blasé qui a perdu sa motivation... et ses cheveux ! Parviendra-t-il à retrouver la patate ?",https://fr.web.img4.acsta.net/c_310_420/pictures/17/02/27/17/41/046707.jpg
17298,Preacher,Terminée,2016-2019,52,4,43,"Drame, Epouvante-horreur, Fantastique","Sam Catlin, Seth Rogen, Evan Goldberg","Dominic Cooper, Joseph Gilgun, Ruth Negga",U.S.A.,3.6,7,4.2,1558,"Au premier coup d'oeil, le révérend Jesse Custer n'a rien de spécial. Après tout il n'est qu'un homme d'église d'une petite ville, perdant peu à peu ses fidèles et laissant s'éteindre sa foi. Mais il va bientôt avoir la preuve que Dieu existe bel et bien. Et qu'""IL"" est un sacré fils de... Avec sa petite-amie Tulip et un vampire nommé Cassidy, le voilà parti sur les routes américaines pour le trouver...",https://fr.web.img4.acsta.net/c_310_420/pictures/18/06/21/11/11/0699802.jpg
19619,Shooter,Annulée,2016 - 2018,42,3,31,"Thriller, Action",John Hlavin,"Ryan Phillippe, Shantel VanSanten, Cynthia Addai-Robinson",U.S.A.,3.3,6,4.1,1081,"Bob Lee Swagger, un ancien tireur d'élite au sein des Marines, reprend du service pour déjouer une tentative d'assassinat à l'encontre du président des États-Unis. Mais lorsqu'il se retrouve accusé du crime, il va devoir se servir de tout ce qu'il a appris au cours de sa carrière pour retrouver les vrais coupables et faire payer ceux qui l'ont piégé.Adaptation de l'oeuvre de Stephen Hunter portée sur le grand écran en 2007 avec Mark Wahlberg dans la peau du Shooter, tireur d'élite.",https://fr.web.img5.acsta.net/c_310_420/pictures/18/05/28/11/07/0110736.jpg
20413,Vernon Subutex,Terminée,2019,30,1,9,Comédie dramatique,Cathy Verney,"Romain Duris, Céline Sallette, Laurent Lucas",France,3.8,10,2.9,1458,"Vernon Subutex, disquaire au chômage, se fait expulser de son appartement. En quête d’un endroit où dormir, Vernon sollicite d’anciens amis de la bande de Revolver, son mythique magasin de disques, dont Alex Bleach, rock-star sur le retour. Mais celui-ci meurt d’une overdose et lui laisse trois mystérieuses cassettes vidéo. Alors que Vernon disparaît dans l’anonymat de la ville, il devient l’homme le plus recherché de Paris...",https://fr.web.img6.acsta.net/c_310_420/pictures/19/03/14/12/40/4548396.jpg
24227,Warrior Nun,En cours,Depuis 2020,45,2,20,"Drame, Fantastique, Action",Simon Barry,"Alba Baptista, Toya Turner, Lorena Andrea",U.S.A.,2.8,5,3.4,1285,"Une jeune femme d'une vingtaine d'années se réveille à la morgue, vivante, avec un artefact implanté dans le dos. Elle découvre qu'elle est maintenant membre d'un ordre ancien qui s'est donné pour mission de combattre les démons sur Terre.",https://fr.web.img6.acsta.net/c_310_420/pictures/20/06/18/09/35/0755176.jpg
20604,Workin' Moms,En cours,Depuis 2017,30,6,60,"Comédie, Drame",Catherine Reitman,"Catherine Reitman, Ryan Belleville, Danielle Kind",Canada,,,4.1,234,"Qu'il s'agisse de faire appel aux grands-parents ou de gérer la dépression post-partum, ces mères et amies redécouvrent la vie après la naissance de leur bébé.",https://fr.web.img2.acsta.net/c_310_420/pictures/17/04/18/11/00/346972.jpg
25408,Better Than Us,En cours,Depuis 2018,52,1,16,"Drame, Science fiction",,"Paulina Andreeva	, Andrey Kryzhniy, Aleksandr Ustyugov",Russie,,,3.9,404,"Dans un Moscou où les robots font partie du quotidien, une famille embauche sans le savoir un androïde tueur pour faire le ménage.",https://fr.web.img6.acsta.net/c_310_420/pictures/19/08/01/17/29/3990542.jpg
