press_name,movie_id,press_rating
aVoir-aLire.com,286122,3.0
Cahiers du Cinéma,286122,2.0
Paris Match,286122,2.0
Télé 7 Jours,286122,2.0
Le Figaro,286122,1.0
Sud Ouest,286122,1.0
Télérama,286122,1.0
Cahiers du Cinéma,290328,5.0
L'Humanité,290328,5.0
Les Echos,290328,5.0
Les Inrockuptibles,290328,5.0
Libération,290328,5.0
Ouest France,290328,5.0
Positif,290328,5.0
Transfuge,290328,5.0
Télérama,290328,5.0
Voici,290328,5.0
20 Minutes,290328,4.0
Bande à part,290328,4.0
CinemaTeaser,290328,4.0
Critikat.com,290328,4.0
Ecran Large,290328,4.0
L'Obs,290328,4.0
La Croix,290328,4.0
La Voix du Nord,290328,4.0
Le Figaro,290328,4.0
Le Journal du Dimanche,290328,4.0
Le Monde,290328,4.0
Le Parisien,290328,4.0
Les Fiches du Cinéma,290328,4.0
Marie Claire,290328,4.0
Première,290328,4.0
Sud Ouest,290328,4.0
Le Parisien,287082,5.0
20 Minutes,287082,4.0
Femme Actuelle,287082,4.0
Filmsactu,287082,4.0
Libération,287082,4.0
Public,287082,4.0
Télé Loisirs,287082,4.0
Voici,287082,4.0
Cahiers du Cinéma,287082,3.0
L'Obs,287082,3.0
LCI,287082,3.0
La Voix du Nord,287082,3.0
Le Journal du Dimanche,287082,3.0
Les Fiches du Cinéma,287082,3.0
Rolling Stone,287082,3.0
Télérama,287082,3.0
CinemaTeaser,287082,2.0
Dernières Nouvelles d'Alsace,287082,2.0
Ecran Large,287082,2.0
GQ,287082,2.0
Le Dauphiné Libéré,287082,2.0
Le Monde,287082,2.0
Le Point,287082,2.0
Les Inrockuptibles,287082,2.0
Paris Match,287082,2.0
Télé 7 Jours,287082,2.0
Le Figaro,287082,1.0
Ouest France,287082,1.0
Première,287082,1.0
Ouest France,287057,5.0
20 Minutes,287057,4.0
Dernières Nouvelles d'Alsace,287057,4.0
Le Dauphiné Libéré,287057,4.0
Le Parisien,287057,4.0
Voici,287057,4.0
La Croix,287057,3.0
La Voix du Nord,287057,3.0
Le Journal du Dimanche,287057,3.0
Les Echos,287057,3.0
Paris Match,287057,3.0
Positif,287057,3.0
Première,287057,3.0
L'Obs,287057,2.0
Le Monde,287057,2.0
Sud Ouest,287057,2.0
Télé 7 Jours,287057,2.0
Télé Loisirs,287057,2.0
Les Inrockuptibles,287057,1.0
Franceinfo Culture,281976,5.0
La Voix du Nord,281976,5.0
Le Journal du Dimanche,281976,5.0
Ouest France,281976,5.0
20 Minutes,281976,4.0
CinemaTeaser,281976,4.0
Dernières Nouvelles d'Alsace,281976,4.0
La Croix,281976,4.0
Le Dauphiné Libéré,281976,4.0
Le Parisien,281976,4.0
Les Echos,281976,4.0
Marianne,281976,4.0
Positif,281976,4.0
Première,281976,4.0
Public,281976,4.0
Télé 7 Jours,281976,4.0
Télé Loisirs,281976,4.0
Voici,281976,4.0
aVoir-aLire.com,281976,4.0
Ecran Large,281976,3.0
L'Obs,281976,3.0
Le Figaro,281976,3.0
Les Fiches du Cinéma,281976,3.0
Libération,281976,3.0
Paris Match,281976,3.0
Télérama,281976,3.0
Cahiers du Cinéma,281976,2.0
Critikat.com,281976,2.0
Le Monde,281976,2.0
Sud Ouest,281976,2.0
Les Inrockuptibles,281976,1.0
20 Minutes,281401,4.0
Dernières Nouvelles d'Alsace,281401,4.0
Le Dauphiné Libéré,281401,4.0
Le Figaro,281401,4.0
Le Parisien,281401,4.0
Culturopoing.com,281401,3.0
La Voix du Nord,281401,3.0
Le Journal du Dimanche,281401,3.0
Paris Match,281401,3.0
Télé 7 Jours,281401,3.0
Télé Loisirs,281401,3.0
Voici,281401,3.0
Les Echos,281401,2.0
Les Fiches du Cinéma,281401,2.0
Les Inrockuptibles,281401,2.0
Le Monde,281401,1.0
Ouest France,281401,1.0
Première,281401,1.0
Sud Ouest,281401,1.0
Télérama,281401,1.0
Bande à part,294969,5.0
Femme Actuelle,294969,5.0
Franceinfo Culture,294969,5.0
L'Humanité,294969,5.0
Ouest France,294969,5.0
20 Minutes,294969,4.0
Dernières Nouvelles d'Alsace,294969,4.0
Elle,294969,4.0
L'Obs,294969,4.0
Les Echos,294969,4.0
Les Inrockuptibles,294969,4.0
Marianne,294969,4.0
Paris Match,294969,4.0
Voici,294969,4.0
CinemaTeaser,294969,3.0
La Croix,294969,3.0
Le Figaro,294969,3.0
Le Monde,294969,3.0
Les Fiches du Cinéma,294969,3.0
Première,294969,3.0
Sud Ouest,294969,3.0
Cahiers du Cinéma,294969,2.0
Le Journal du Dimanche,294969,2.0
Le Parisien,294969,2.0
Libération,294969,2.0
Télérama,294969,2.0
aVoir-aLire.com,294969,2.0
20 Minutes,284864,5.0
Dernières Nouvelles d'Alsace,284864,5.0
Elle,284864,5.0
Franceinfo Culture,284864,5.0
Le Dauphiné Libéré,284864,5.0
Le Journal du Dimanche,284864,5.0
Ouest France,284864,5.0
Positif,284864,5.0
Télé Loisirs,284864,5.0
Voici,284864,5.0
BIBA,284864,4.0
CNews,284864,4.0
Femme Actuelle,284864,4.0
LCI,284864,4.0
La Voix du Nord,284864,4.0
Le Parisien,284864,4.0
Le Point,284864,4.0
aVoir-aLire.com,284864,4.0
Ecran Large,284864,3.0
La Croix,284864,3.0
Le Figaro,284864,3.0
Les Echos,284864,3.0
Paris Match,284864,3.0
Télé 7 Jours,284864,3.0
Télérama,284864,3.0
Le Monde,284864,2.0
Marianne,284864,2.0
Cahiers du Cinéma,284864,1.0
GQ,284864,1.0
L'Obs,284864,1.0
Les Inrockuptibles,284864,1.0
Première,284864,1.0
Ouest France,269097,5.0
Dernières Nouvelles d'Alsace,269097,4.0
Elle,269097,4.0
Femme Actuelle,269097,4.0
L'Obs,269097,4.0
Le Parisien,269097,4.0
Les Echos,269097,4.0
Paris Match,269097,4.0
Positif,269097,4.0
Sud Ouest,269097,4.0
Télé 7 Jours,269097,4.0
Télé Loisirs,269097,4.0
Voici,269097,4.0
aVoir-aLire.com,269097,4.0
Le Journal du Dimanche,269097,3.0
Les Fiches du Cinéma,269097,3.0
Les Inrockuptibles,269097,3.0
Première,269097,3.0
Télérama,269097,3.0
Cahiers du Cinéma,269097,2.0
Ecran Large,269097,2.0
La Croix,269097,2.0
La Voix du Nord,269097,2.0
Le Figaro,269097,2.0
Le Monde,269097,2.0
Libération,269097,2.0
GQ,240617,5.0
Ouest France,240617,5.0
20 Minutes,240617,4.0
CinemaTeaser,240617,4.0
Ecran Large,240617,4.0
Filmsactu,240617,2.0
Le Journal du Dimanche,240617,4.0
Le Parisien,240617,4.0
Le Point,240617,4.0
Rolling Stone,240617,4.0
Franceinfo Culture,240617,3.0
Le Monde,240617,3.0
Les Fiches du Cinéma,240617,3.0
Première,240617,3.0
Cahiers du Cinéma,240617,2.0
L'Humanité,240617,2.0
Les Inrockuptibles,240617,2.0
Libération,240617,2.0
Le Figaro,240617,1.0
Télérama,240617,1.0
20 Minutes,279093,4.0
Dernières Nouvelles d'Alsace,279093,4.0
L'Obs,279093,4.0
Le Dauphiné Libéré,279093,4.0
Le Journal du Geek,279093,4.0
Le Parisien,279093,4.0
Ouest France,279093,4.0
Télé Loisirs,279093,4.0
Ecran Large,279093,3.0
Filmsactu,279093,3.0
Le Figaro,279093,3.0
Le Journal du Dimanche,279093,3.0
Libération,279093,3.0
Sud Ouest,279093,3.0
Télérama,279093,3.0
CinemaTeaser,279093,2.0
Critikat.com,279093,2.0
Le Monde,279093,2.0
Première,279093,2.0
Les Echos,279093,1.0
Le Parisien,293378,3.0
Dernières Nouvelles d'Alsace,293378,2.0
Le Dauphiné Libéré,293378,2.0
Les Inrockuptibles,293378,2.0
Télérama,293378,1.0
Le Figaro,278257,5.0
Le Parisien,278257,5.0
Ouest France,278257,5.0
Positif,278257,5.0
Voici,278257,5.0
20 Minutes,278257,4.0
Bande à part,278257,4.0
Dernières Nouvelles d'Alsace,278257,4.0
L'Humanité,278257,4.0
L'Obs,278257,4.0
La Voix du Nord,278257,4.0
Le Dauphiné Libéré,278257,4.0
Le Monde,278257,4.0
Les Echos,278257,4.0
Les Fiches du Cinéma,278257,4.0
Marianne,278257,4.0
Télé 7 Jours,278257,4.0
Télérama,278257,4.0
La Croix,278257,3.0
Le Journal du Dimanche,278257,3.0
Première,278257,3.0
Sud Ouest,278257,3.0
aVoir-aLire.com,278257,3.0
Cahiers du Cinéma,278257,2.0
BIBA,279941,4.0
Dernières Nouvelles d'Alsace,279941,4.0
L'Humanité,279941,4.0
Le Dauphiné Libéré,279941,4.0
Le Figaro,279941,4.0
Le Parisien,279941,4.0
Voici,279941,4.0
L'Obs,279941,3.0
La Croix,279941,3.0
Le Journal du Dimanche,279941,3.0
Les Echos,279941,3.0
Les Fiches du Cinéma,279941,3.0
Télé 7 Jours,279941,3.0
