user_id,user_name,series_id,user_rating,date
Z20150611102648140178198,Fabien S.,25546,4.0,2022-05-11
Z20050723115545143682894,gunbuster,25546,4.0,2022-05-11
Z20050102191155607448983,gooneur,25546,2.5,2022-05-08
Z20100214153018883302854,2985,25546,2.5,2022-05-11
Z20100928151919737223269,nokidoki,25546,4.5,2022-04-01
Z20060911082115217477627,Lecter_H,25546,4.0,2022-04-30
Z20041228131717590482331,eleonora,25546,1.0,2022-05-11
Z20081021233502013575768,Cinévore24,25546,3.5,2022-05-08
Z20180405075253113886498,Jean N.,25546,2.0,2022-05-05
Z20150525142641550375372,DanDan,25546,4.0,2022-05-08
Z20071219015003050699138,L'ECRAN FOU,25546,2.5,2022-05-05
Z20100321191000817596754,ianb,25546,3.0,2022-05-05
Z20190609183725493778366,loris,25546,3.5,2022-05-09
Z20200507144740585457862,Titanneeb ,25546,5.0,2022-05-05
Z20211020161553027846725,Matthieu Ferrari,25546,3.5,2022-05-04
Z20140828021705407247461,Théo B,25546,4.5,2022-05-08
Z20110728141227927889433,Julien Chevillard,25546,4.5,2022-04-01
Z20210725192413306127793,René Philibert,25546,0.5,2022-04-04
Z20201223205440750788241,The Movies chronicles,25546,3.0,2022-05-05
Z20201012115532789103677,Kromaria,25546,3.0,2022-05-04
Z20210610093631491003519,DATAPEX,25546,2.5,2022-05-05
Z20220319155625085148877,lecoin_popocorn,25546,4.0,2022-05-11
Z20201028213637100570902,thib,25546,4.5,2022-05-05
Z20100430193034840944352,wolfred,25546,0.5,2022-05-11
Z20220219155925396151715,Maxime Valery,25546,4.0,2022-05-11
Z20160312054111647764241,MonPersonnagePrefereEstMortEncore,25546,5.0,2022-04-08
Z20150711140759353961873,laurent p,25546,2.0,2022-04-07
Z20130410222849733826188,Tetro26,25546,0.5,2022-05-11
Z20140222113659473625224,Hady P.,25546,1.5,2022-04-27
Z20210908221239365537063,Mandy Carvin,25546,5.0,2022-04-09
Z20210120232539637765376,FAMILLE 5,25546,0.5,2022-05-06
Z20211205204137875608052,Eden bendeal,25546,2.0,2022-05-11
Z20220429163841998327913,LoveMovies,25546,1.5,2022-05-11
Z20170719190814913768311,popo,25546,2.0,2022-04-27
Z20211009102101944328139,Paul Carnovali,25546,5.0,2022-05-05
Z20220404105908581335929,JulieD34,25546,4.5,2022-05-08
Z20200830231706504252558,Sulyvan Nau-Dam,25546,4.0,2022-05-11
Z20220421143259323139971,truaich G.,25546,1.5,2022-05-01
Z20170711191245547411383,Dam D.,25546,4.0,2022-04-10
Z20180702092719201172199,ERU,25546,3.5,2022-05-05
Z20220106220949762044614,laurent gay,25546,1.5,2022-04-24
Z20211121165547805165873,Haris Megzari,25546,4.0,2022-05-11
Z20210302114231104628866,John Bereti,25546,3.0,2022-05-11
Z20200620231128059303983,Benoit Griette,25546,4.5,2022-05-01
Z20211027153922976728198,Andréas Gaming12,25546,4.5,2022-05-04
Z20140219163308647697517,cutsaez,25546,5.0,2022-04-30
Z20190328111250978517983,Anis V,25546,5.0,2022-04-27
Z20210904101755623070983,Eren CHASSEEUUR,25546,4.5,2022-05-05
Z20180528183010577208194,Gregory93 P.,25546,5.0,2022-04-20
Z20210704141041332808025,Eden Kalala,25546,2.0,2022-05-11
Z20131124222043407293221,Fanny F,31219,2.0,2022-05-04
Z20211225101541783088129,Lyah,31219,4.0,2022-05-11
Z20200209170832609272550,AlbaRockwater,31219,1.5,2022-04-27
Z20220127120710663268167,Myriam Bérard,31219,4.0,2022-05-04
Z20161228201859507875717,Valérie B.,31219,0.5,2022-05-06
Z20100103213148707818952,Fanatiik,31219,5.0,2022-04-27
Z20220130201714524559079,Zeymoce TV,31219,4.5,2022-04-27
Z20211231035813954730432,Quoi ma gueule,31219,2.0,2022-04-27
Z20210419215748198241935,Eirian Legoux,31219,0.5,2022-04-27
Z20190616210024597336617,Yo R,31219,4.0,2022-04-28
