id,title,status,release_date,duration,nb_seasons,nb_episodes,genres,directors,actors,nationality,press_rating,nb_press_rating,spect_rating,nb_spect_rating,summary,poster_link
12209,Halo,En cours,Depuis 2022,60,2,9,"Science fiction, Action","Kyle Killen, Steven Kane","Pablo Schreiber, Natascha McElhone, Shabana Azmi","Grande-Bretagne, U.S.A.",2.9,8,3.7,425,"Au 26ème siècle, alors que l’humanité est empêtrée dans une guerre intergalactique contre une menace extraterrestre connue sous le nom d’Alliance, le Dr. Halsey, une brillante scientifique, a créé les Spartans, des super-soldats génétiquement et technologiquement améliorés pour booster les capacités physiques et mentales. John-117, le commandant d'une des unités, mène ses troupes vers le combat...Adaptation du jeu vidéo culte ""Halo"".",https://fr.web.img6.acsta.net/c_310_420/pictures/22/04/11/12/02/5045689.jpg
28872,Les 7 vies de Léa,En cours,Depuis 2022,45,1,7,"Drame, Fantastique",Charlotte Sanson,"Raïka Hazanavicius, Khalil Ben Gharbia, Théo Fernandez",France,,,4.0,141,"Léa déteste sa vie... Elle va en vivre 7. Quand elle tombe sur le corps d'Ismaël, un adolescent disparu trente ans plus tôt, Léa retourne en 1991 et se réveille chaque matin dans le corps d'une personne différente. Pourra-t-elle le sauver ?Adaptation du roman ""Les 7 Vies de Léo Belami de Nataël Trapp"", paru aux éditions Versilio et Robert Laffont (Collection R).",https://fr.web.img5.acsta.net/c_310_420/pictures/22/04/07/15/04/5484755.jpg
25546,Moon Knight,En cours,Depuis 2022,45,1,6,"Aventure, Drame, Fantastique, Action",Jeremy Slater,"Oscar Isaac, Ethan Hawke, May Calamawy",U.S.A.,3.5,8,3.8,815,"Employé discret dans une boutique de souvenirs, Steven Grant est soudain victime de pertes de mémoire et est hanté par des visions d’une autre vie. Il découvre qu’il souffre d’un trouble dissociatif de l’identité et qu’il partage le même corps qu’un mercenaire, Marc Spector. Alors que l’étau se resserre sur Steven / Marc, les deux hommes, plongés dans une aventure périlleuse parmi les puissants dieux d’Égypte, vont devoir trouver leur équilibre dans cette double identité.",https://fr.web.img4.acsta.net/c_310_420/pictures/22/02/14/10/10/1383073.jpg
31219,En un battement,En cours,Depuis 2022,45,2,28,"Drame, Thriller",Leonardo Padrón,"Michel Brown, Juan Fernando Sánchez, Moises Arizmendi",Colombie,,,3.1,68,"Obsédé par l'idée de venger sa femme de l'organisation de trafic d'organes qui l'a tuée pour prélever son cœur, un homme noue une relation avec la patiente qui l'a reçu.",https://fr.web.img3.acsta.net/c_310_420/pictures/22/03/23/23/35/5703315.jpg
274,Grey's Anatomy,En cours,Depuis 2005,42,19,405,"Drame, Médical",Shonda Rhimes,"Ellen Pompeo, Patrick Dempsey, Chandra Wilson",U.S.A.,3.2,10,3.9,57108,"Meredith Grey, fille d'un chirurgien très réputé, commence son internat de première année en médecine chirurgicale dans un hôpital de Seattle. La jeune femme s'efforce de maintenir de bonnes relations avec ses camarades internes, mais dans ce métier difficile la compétition fait rage...",https://fr.web.img6.acsta.net/c_310_420/pictures/20/10/07/22/15/3944085.jpg
26636,Anatomie d'un scandale,En cours,Depuis 2022,60,1,6,"Drame, Judiciaire","David E. Kelley, Melissa James Gibson","Sienna Miller, Michelle Dockery, Rupert Friend",U.S.A.,2.8,6,3.7,272,"La vie privilégiée de Sophie vole en éclats quand des secrets scandaleux font surface et que James, son mari et politicien de haut vol, est accusé d'un crime choquant.D'après l'ouvrage éponyme de Sarah Vaughan (2017).",https://fr.web.img5.acsta.net/c_310_420/pictures/22/03/18/08/49/3762635.jpg
27798,"LOL : Qui rit, sort !",En cours,Depuis 2021,25,3,18,"Comédie, Show",,"Philippe Lacheau, Alexandra Lamy, Melha Bedia",France,,,2.9,946,"Le public suivra le groupe de dix comédiens, chacun étant bien décidé à être le dernier à craquer. Six heures durant, une seule règle comptera : qui rit perd la partie. Celui qui parviendra à rester de marbre jusqu’au bout remportera le jeu et pourra reverser ses 50 000 € de dotation à l’association caritative de son choix.",https://fr.web.img6.acsta.net/c_310_420/pictures/21/04/01/10/10/2451175.jpg
19792,Ozark,Terminée,2017-2022,52,4,44,"Drame, Thriller","Bill Dubuque, Mark Williams (II)","Jason Bateman, Laura Linney, Sofia Hublitz",U.S.A.,2.6,4,4.1,5283,"Marty, conseiller financier de Chicago, blanchit discrètement de l’argent pour le compte d’un baron de la drogue. Lorsque son partenaire le trahit, il doit rapidement déménager avec sa famille aux monts Ozarks. Sur place, il se retrouve malgré lui opposé à un dealer local dont il concurrence dangereusement le business, ainsi qu’à un clan de petits voyous, dirigé par une jeune fille de 19 ans, qui cherche à lui soutirer de l’argent. En outre, il doit aussi éviter de se faire repérer par un agent du FBI tenace. S’il veut protéger sa famille, Marty doit rapidement blanchir l’argent sale, tout en s’adaptant à cette nouvelle vie.",https://fr.web.img6.acsta.net/c_310_420/pictures/20/03/06/09/36/4772880.jpg
22373,Élite,En cours,Depuis 2018,60,6,40,"Drame, Policier, Thriller","Carlos Montero, Darío Madrona","Georgina Amorós, Carla Díaz (II), Itzan Escamilla",Espagne,3.1,12,3.8,7988,"Las Encinas est l’école la plus compétitive et huppée d’Espagne accueillant les enfants de l’élite. C’est également dans cette école que trois enfants de la classe ouvrière sont admis lorsque leur école est détruite et que les étudiants sont alors répartis dans plusieurs établissements. Ils pensaient être chanceux... mais peut-être ne le sont-ils pas tant que cela ? La confrontation entre ceux qui ont tout et ceux qui n’ont rien est explosive, et aboutira à un meurtre. Qui est vraiment derrière ce crime ? Est-ce l’un des nouveaux arrivants ? Ou se cache-t-il quelque chose de plus sombre ?",https://fr.web.img6.acsta.net/c_310_420/pictures/21/05/24/17/52/1035233.jpg
25616,HPI,En cours,Depuis 2021,52,1,16,"Comédie, Policier","Nicolas Jean, Alice Chegaray-Breugnot, Stéphane Carrié","Audrey Fleurot, Mehdi Nebbou, Bruno Sanches",France,3.4,7,3.6,1314,"Morgane, 38 ans, 3 enfants, 2 ex, 5 crédits, 160 de QI et une bonne dose d’insoumission, va voir son destin de femme de ménage chamboulé lorsque ses capacités hors norme sont repérées par la police qui lui propose un poste de consultante. Problème : Morgane déteste les flics !",https://fr.web.img4.acsta.net/c_310_420/pictures/21/04/07/11/14/5145026.jpg
