user_id,user_name,series_id,user_rating,date
Z20100506121351567755736,Georges P.,26636,4.5,2022-04-24
Z20060911082115217477627,Lecter_H,26636,4.5,2022-04-25
Z20161117212759953301234,Choupi C.,26636,3.5,2022-04-24
Z20110422013252420214938,tonyhw,26636,4.0,2022-04-18
Z20130223210326607787848,Pamolico - blog ,26636,3.0,2022-04-24
Z20110728141227927889433,Julien Chevillard,26636,4.5,2022-04-15
Z20110910105321660857528,Insp. Harry Callahan,26636,4.0,2022-04-21
Z20200209170832609272550,AlbaRockwater,26636,2.5,2022-04-23
Z20130327025225250408389,CLIFF98830,26636,4.0,2022-04-20
Z20111113184416537319751,David Vidoni,26636,4.0,2022-04-22
Z20210220102028075304696,Rotk79,26636,3.5,2022-04-26
Z20220115215639025950139,EST FRIKS,26636,0.5,2022-04-24
Z20220228230838988270626,Gabriel Calzada,26636,4.0,2022-04-25
Z20121118193443223586148,John G,26636,2.5,2022-04-24
Z20161104025137417296647,Soloo S,26636,1.0,2022-04-24
Z20210825182016290024516,Boronia,26636,3.0,2022-04-21
Z20220423222512194137575,Ya Ngo,26636,2.0,2022-04-23
Z20210320215216586823786,Esteven,26636,4.0,2022-04-20
Z20121022182542230468657,Tayop,27798,3.0,2022-04-20
Z20120516090532753205331,tisma,27798,3.0,2022-04-22
Z20210220224904750081492,L. Lawliet,27798,3.0,2021-05-13
Z20210417125537045120856,Popcornlover.974,27798,3.0,2021-04-27
Z20200802154140919806467,Matteo Maestracci,27798,3.5,2021-05-08
Z20050922215539020223379,scrapy,27798,1.0,2021-05-25
Z20200707140911206284944,Scat,27798,1.0,2021-04-26
Z20050216232400750593231,Laurent B,27798,5.0,2022-04-13
Z20110822153240800146286,Benjamin A,27798,1.5,2021-05-05
Z20210126234917478072600,Luiz,27798,4.0,2021-12-24
Z20150217064839700802789,Sebastien G.,27798,0.5,2021-04-28
Z20190210154217353512973,Maritza o,27798,2.0,2021-05-03
Z20200708211603548064461,Matteo Dominici,27798,5.0,2021-04-27
Z20220417160845841708851,Liam.lbc,27798,4.5,2022-04-25
Z20201226162157305031615,Clara Bibi,27798,1.0,2022-04-04
Z20170627081504077289352,Laurent G.,27798,1.5,2021-05-04
Z20170304225858770614247,Sonia Z.,27798,5.0,2022-01-24
Z20140128185537697903267,Cyrille Racyno,27798,2.0,2021-07-10
Z20190305215136989860288,AGENT A,27798,0.5,2021-04-26
Z20190512231018144228449,Marie-Hélène V,27798,5.0,2022-04-10
Z20110704234143603956891,koolshenntm,27798,5.0,2022-04-04
Z20200111085109742541820,Head561,27798,4.0,2021-05-02
Z20161215005200030455415,Ondes Vitales,27798,3.5,2022-03-29
Z20191111174717139144024,Mike GLT,27798,0.5,2021-05-02
Z20200206132355117608590,Charles Lecompte,27798,4.5,2021-04-29
Z20160406195918210759373,lola L.,27798,1.0,2021-05-03
Z20220111123733080032436,Annicine,27798,4.5,2022-04-12
Z20170118113553993149915,Thilmada,27798,1.5,2021-05-06
Z20111204022246950119847,Maxime E,27798,4.0,2021-04-24
Z20150425213705543987874,Manon P.,27798,1.5,2022-04-13
Z20041119145708583662356,lolojustified,27798,4.5,2022-04-04
Z20200101195552112308751,Déborah,27798,5.0,2021-05-03
Z20180401050938003344651,Dalavista1 .,27798,4.5,2021-05-06
Z20160328135524190381773,DIEGO H,27798,0.5,2021-05-04
Z20191117150300292648146,Mathiassdu31,27798,1.5,2021-04-28
Z20080207133249277892466,benbasm,27798,0.5,2021-11-06
Z20110809233327667703899,Fee S,27798,5.0,2021-05-25
Z20210426000110085346342,Pierro07,27798,0.5,2021-04-26
Z20160415232555960586798,Mic G.,27798,0.5,2021-06-26
Z20201204120820459449387,Eva Arguelles,27798,0.5,2021-04-27
Z20210423235322442382995,Le Justicier d'allocine,27798,3.5,2022-01-24
Z20171228191913710374738,Christophe1007,27798,3.5,2021-04-27
Z20190307011141918524715,pierre-antoine b,27798,5.0,2022-04-14
Z20160318111730657152491,Benj F.,27798,1.0,2022-04-21
Z20180518212720230989678,Mikael F.,27798,0.5,2022-04-22
Z20200922173750133106843,Lilie ainama,27798,1.5,2021-04-29
Z20100529081430690212812,c0512,27798,0.5,2021-04-26
Z20141222203313637136662,Christophe A.,27798,0.5,2022-04-25
Z20130521153220277805896,Vincent L.,27798,0.5,2022-04-06
Z20210430175915333903845,Melvin,27798,3.0,2021-05-03
Z20180121211054080173661,Siskal P.,27798,0.5,2021-05-29
Z20171013113722270207877,LOLAciné,27798,0.5,2021-04-27
Z20191009204413957130895,Wedgey,27798,0.5,2021-05-03
Z20160517063222467185743,Alexandra N.,27798,5.0,2021-04-26
Z20210518155748167274775,Georges Abitbol,27798,5.0,2021-05-18
Z20140730211053060416432,Gaël C.,27798,4.5,2021-08-26
Z20200215214247223124597,Cercis Bruce,27798,4.0,2021-04-28
Z20151119115242223991733,Pronesti D.,27798,5.0,2021-05-12
Z20220419222321244554997,Alpopsino OFFICIEL,27798,0.5,2022-04-22
Z20210524094537562261803,Malo LE NORMAND,27798,0.5,2021-05-25
Z20210420091259359225864,Mench' himself,27798,0.5,2021-04-24
Z20071026102333733326999,Franck S,27798,4.0,2021-04-24
Z20080507110615397803383,geuth01,27798,5.0,2022-01-14
Z20201211235258807456900,Redpanda,27798,0.5,2021-04-26
Z20210430092917487644860,Cdric.nofx,27798,3.5,2021-04-30
Z20210503155014292000632,Oswaldo Carrera,27798,0.5,2021-05-03
Z20190801175238575100280,MarieCecile M,27798,4.5,2021-04-30
Z20220108155043460273901,halin simon,27798,2.0,2022-04-09
Z20200419010533749114241,Claudine Dsp,27798,0.5,2022-04-21
Z20071013022203617925963,Salim ,27798,3.5,2022-04-21
Z20180803200655363991939,Léa D.,27798,2.5,2021-04-26
Z20210504233451974997020,Gerald Pourre,27798,5.0,2021-05-05
Z20210531215720298557485,ncpaganbreizh,27798,0.5,2021-06-01
Z20201228002321803276441,Lucas Mars,27798,1.0,2021-05-02
Z20210501090923830761371,david balon,27798,5.0,2021-05-01
Z20210430233704756885462,Magali Grimaldi,27798,0.5,2021-05-01
Z20210509203839449080967,Pauline Lenfant,27798,2.0,2021-05-09
Z20210508002452483773854,Celinazumbalorenzo,27798,5.0,2021-05-08
Z20210522193824207156327,Aciiderixx,27798,3.0,2021-05-22
Z20210427222353885274379,Lordure13,27798,0.5,2021-04-28
Z20210427220931335453102,Matthieu Douaud,27798,5.0,2021-05-08
Z20201108014146283947487,AirOne Production,27798,5.0,2021-05-03
Z20200219005100562046997,Sappes Demark,27798,5.0,2021-05-02
Z20140315225056670684437,Schmitt M.,27798,1.0,2021-05-04
Z20210503235656942118870,Karim Globe trotteur,27798,5.0,2021-05-04
Z20210502025940687859588,harold mouillon,27798,5.0,2021-05-02
Z20210514153631644507550,Jessej13140,27798,5.0,2021-05-14
Z20170217200013137853485,romain d,27798,0.5,2021-04-27
Z20210428170337027720615,Thibaut,27798,0.5,2021-04-28
Z20210428110014725866967,Acallaud60,27798,5.0,2021-04-28
Z20141101182037043949955,PAUL S.,27798,1.5,2021-04-27
Z20220408235512717446492,Elise Duriez,27798,5.0,2022-04-09
Z20201017235749541330330,Alan Clz,27798,1.0,2022-04-10
Z20210426104140896131460,Yoshi1338,27798,0.5,2021-04-26
Z20210314221437204102368,Bruno BERTRAND,27798,0.5,2021-04-28
Z20211204162632628256493,Romain Carré,27798,2.0,2022-02-21
Z20210507195648299346586,DAVAL Mary Rousseau,27798,4.0,2021-05-08
