press_name,movie_id,press_rating
Le Parisien,279093,4.0
Ouest France,279093,4.0
Télé Loisirs,279093,4.0
Ecran Large,279093,3.0
Filmsactu,279093,3.0
Le Figaro,279093,3.0
Le Journal du Dimanche,279093,3.0
Libération,279093,3.0
Mad Movies,279093,3.0
Sud Ouest,279093,3.0
Télérama,279093,3.0
CinemaTeaser,279093,2.0
Critikat.com,279093,2.0
Le Monde,279093,2.0
Première,279093,2.0
Les Echos,279093,1.0
Cahiers du Cinéma,290328,5.0
L'Humanité,290328,5.0
Les Echos,290328,5.0
Les Inrockuptibles,290328,5.0
Libération,290328,5.0
Ouest France,290328,5.0
Positif,290328,5.0
Transfuge,290328,5.0
Télérama,290328,5.0
Voici,290328,5.0
20 Minutes,290328,4.0
Bande à part,290328,4.0
CinemaTeaser,290328,4.0
Critikat.com,290328,4.0
Ecran Large,290328,4.0
L'Obs,290328,4.0
La Croix,290328,4.0
La Voix du Nord,290328,4.0
Le Figaro,290328,4.0
Le Journal du Dimanche,290328,4.0
Le Monde,290328,4.0
Le Parisien,290328,4.0
Les Fiches du Cinéma,290328,4.0
Marie Claire,290328,4.0
Première,290328,4.0
Sud Ouest,290328,4.0
aVoir-aLire.com,290328,4.0
20 Minutes,279664,4.0
Femme Actuelle,279664,4.0
Le Figaro,279664,4.0
Le Parisien,279664,4.0
Public,279664,4.0
Télé Loisirs,279664,4.0
Voici,279664,4.0
L'Obs,279664,3.0
La Croix,279664,3.0
La Voix du Nord,279664,3.0
Les Fiches du Cinéma,279664,3.0
Sud Ouest,279664,3.0
Télé 7 Jours,279664,3.0
Télérama,279664,3.0
Les Inrockuptibles,279664,2.0
Première,279664,2.0
20 Minutes,281203,4.0
LCI,281203,4.0
Le Figaro,281203,4.0
Le Parisien,281203,4.0
CNews,281203,3.0
Dernières Nouvelles d'Alsace,281203,3.0
IGN France,281203,3.0
Les Fiches du Cinéma,281203,3.0
Ecran Large,281203,2.0
L'Ecran Fantastique,281203,2.0
L'Obs,281203,2.0
Le Monde,281203,2.0
Le Journal du Dimanche,281203,1.0
CinemaTeaser,211012,5.0
Closer,211012,5.0
Dernières Nouvelles d'Alsace,211012,5.0
Filmsactu,211012,5.0
GQ,211012,5.0
IGN France,211012,5.0
Le Dauphiné Libéré,211012,5.0
Le Figaro,211012,5.0
Mad Movies,211012,5.0
20 Minutes,211012,4.0
CNews,211012,4.0
Cahiers du Cinéma,211012,4.0
Ecran Large,211012,4.0
Franceinfo Culture,211012,4.0
L'Ecran Fantastique,211012,4.0
LCI,211012,4.0
La Voix du Nord,211012,4.0
Le Journal du Dimanche,211012,4.0
Le Journal du Geek,211012,4.0
Le Parisien,211012,4.0
Le Point,211012,4.0
Les Fiches du Cinéma,211012,4.0
Les Inrockuptibles,211012,4.0
Libération,211012,4.0
Paris Match,211012,4.0
Positif,211012,4.0
Public,211012,4.0
Rolling Stone,211012,4.0
Télé 7 Jours,211012,4.0
aVoir-aLire.com,211012,4.0
L'Obs,211012,3.0
La Septième Obsession,211012,3.0
Les Echos,211012,3.0
Ouest France,211012,3.0
Première,211012,3.0
Télérama,211012,3.0
